"8 Wind 0,Cpi -0.3,+Cpe",,,,,,"9 Wind 0,Cpi -0.3,-Cpe",,,,,,"10 Wind 0,Cpi 0.2,+Cpe",,,,,,"11 Wind 0,Cpi 0.2,-Cpe",,,,,,"12 Wind 90,Cpi -0.3,+Cpe",,,,,,"13 Wind 90,Cpi -0.3,-Cpe",,,,,,"14 Wind 90,Cpi 0.2,+Cpe",,,,,,"15 Wind 90,Cpi 0.2,-Cpe",,,,,,"16 Wind 180,Cpi -0.3,+Cpe",,,,,,"17 Wind 180,Cpi -0.3,-Cpe",,,,,,"18 Wind 180,Cpi 0.2,+Cpe",,,,,,"19 Wind 180,Cpi 0.2,-Cpe",,,,,,"20 Wind 270,Cpi -0.3,+Cpe",,,,,,"21 Wind 270,Cpi -0.3,-Cpe",,,,,,"22 Wind 270,Cpi 0.2,+Cpe",,,,,,"23 Wind 270,Cpi 0.2,-Cpe",,,,
Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load,,Reference,Zone,Nett Pressure,Area,Applied Load
,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN],,,,[kN/m2],[m2],[kN]
WI 47,A,-1.488,49,-72.4,,WI 47,A,-1.488,49,-72.4,,WI 47,A,-2.232,49,-108.6,,WI 47,A,-2.232,49,-108.6,,WI 47,W,1.298,65,84.2,,WI 47,W,1.298,65,84.2,,WI 47,W,0.605,65,39.3,,WI 47,W,0.605,65,39.3,,WI 47,A,-0.871,49,-42.4,,WI 47,A,-0.871,49,-42.4,,WI 47,A,-1.306,49,-63.6,,WI 47,A,-1.306,49,-63.6,,WI 47,L,-0.223,65,-14.4,,WI 47,L,-0.223,65,-14.4,,WI 47,L,-0.779,65,-50.6,,WI 47,L,-0.779,65,-50.6
,B,-0.744,16,-12,,,B,-0.744,16,-12,,,B,-1.488,16,-24.1,,,B,-1.488,16,-24.1,,WI 46,A,-1.476,63,-92.6,,WI 46,A,-1.476,63,-92.6,,WI 46,A,-2.214,63,-138.9,,WI 46,A,-2.214,63,-138.9,,,B,-0.435,16,-7.1,,,B,-0.435,16,-7.1,,,B,-0.871,16,-14.1,,,B,-0.871,16,-14.1,,WI 46,A,-1.186,63,-74.4,,WI 46,A,-1.186,63,-74.4,,WI 46,A,-1.779,63,-111.6,,WI 46,A,-1.779,63,-111.6
WI 46,L,-0.317,483,-153.2,,WI 46,L,-0.317,483,-153.2,,WI 46,L,-1.109,483,-536.3,,WI 46,L,-1.109,483,-536.3,,,B,-0.738,293,-216.2,,,B,-0.738,293,-216.2,,,B,-1.476,293,-432.3,,,B,-1.476,293,-432.3,,WI 46,W,1.067,483,515.7,,WI 46,W,1.067,483,515.7,,WI 46,W,0.603,483,291.5,,WI 46,W,0.603,483,291.5,,,B,-0.593,293,-173.7,,,B,-0.593,293,-173.7,,,B,-1.186,293,-347.4,,,B,-1.186,293,-347.4
WI 54,W,1.711,35,60.4,,WI 54,W,1.711,35,60.4,,WI 54,W,0.967,35,34.1,,WI 54,W,0.967,35,34.1,,,C,-0.295,128,-37.7,,,C,-0.295,128,-37.7,,,C,-1.033,128,-132,,,C,-1.033,128,-132,,WI 54,L,-0.174,35,-6.1,,WI 54,L,-0.174,35,-6.1,,WI 54,L,-0.61,35,-21.5,,WI 54,L,-0.61,35,-21.5,,,C,-0.237,128,-30.3,,,C,-0.237,128,-30.3,,,C,-0.83,128,-106,,,C,-0.83,128,-106
WI 43,B,-0.744,195,-144.8,,WI 43,B,-0.744,195,-144.8,,WI 43,B,-1.488,195,-289.7,,WI 43,B,-1.488,195,-289.7,,WI 54,A,-1.386,35,-48.9,,WI 54,A,-1.386,35,-48.9,,WI 54,A,-2.079,35,-73.4,,WI 54,A,-2.079,35,-73.4,,WI 43,B,-0.435,195,-84.8,,WI 43,B,-0.435,195,-84.8,,WI 43,B,-0.871,195,-169.5,,WI 43,B,-0.871,195,-169.5,,WI 54,L,-0.223,35,-7.9,,WI 54,L,-0.223,35,-7.9,,WI 54,L,-0.779,35,-27.5,,WI 54,L,-0.779,35,-27.5
,C,-0.298,324,-96.5,,,C,-0.298,324,-96.5,,,C,-1.042,324,-337.7,,,C,-1.042,324,-337.7,,WI 43,L,-0.277,519,-143.8,,WI 43,L,-0.277,519,-143.8,,WI 43,L,-0.97,519,-503.3,,WI 43,L,-0.97,519,-503.3,,,C,-0.174,324,-56.5,,,C,-0.174,324,-56.5,,,C,-0.61,324,-197.6,,,C,-0.61,324,-197.6,,WI 43,W,1.097,519,569.1,,WI 43,W,1.097,519,569.1,,WI 43,W,0.54,519,280.2,,WI 43,W,0.54,519,280.2
WI 44,W,1.823,483,881.1,,WI 44,W,1.823,483,881.1,,WI 44,W,1.03,483,498,,WI 44,W,1.03,483,498,,WI 44,A,-1.476,63,-92.6,,WI 44,A,-1.476,63,-92.6,,WI 44,A,-2.214,63,-138.9,,WI 44,A,-2.214,63,-138.9,,WI 44,L,-0.185,483,-89.7,,WI 44,L,-0.185,483,-89.7,,WI 44,L,-0.649,483,-313.9,,WI 44,L,-0.649,483,-313.9,,WI 44,A,-1.186,63,-74.4,,WI 44,A,-1.186,63,-74.4,,WI 44,A,-1.779,63,-111.6,,WI 44,A,-1.779,63,-111.6
WI 45,B,-0.744,195,-144.8,,WI 45,B,-0.744,195,-144.8,,WI 45,B,-1.488,195,-289.7,,WI 45,B,-1.488,195,-289.7,,,B,-0.738,293,-216.2,,,B,-0.738,293,-216.2,,,B,-1.476,293,-432.3,,,B,-1.476,293,-432.3,,WI 45,B,-0.435,195,-84.8,,WI 45,B,-0.435,195,-84.8,,WI 45,B,-0.871,195,-169.5,,WI 45,B,-0.871,195,-169.5,,,B,-0.593,293,-173.7,,,B,-0.593,293,-173.7,,,B,-1.186,293,-347.4,,,B,-1.186,293,-347.4
,C,-0.298,324,-96.5,,,C,-0.298,324,-96.5,,,C,-1.042,324,-337.7,,,C,-1.042,324,-337.7,,,C,-0.295,128,-37.7,,,C,-0.295,128,-37.7,,,C,-1.033,128,-132,,,C,-1.033,128,-132,,,C,-0.174,324,-56.5,,,C,-0.174,324,-56.5,,,C,-0.61,324,-197.6,,,C,-0.61,324,-197.6,,,C,-0.237,128,-30.3,,,C,-0.237,128,-30.3,,,C,-0.83,128,-106,,,C,-0.83,128,-106
WI 53,L,-0.298,35,-10.5,,WI 53,L,-0.298,35,-10.5,,WI 53,L,-1.042,35,-36.8,,WI 53,L,-1.042,35,-36.8,,WI 45,W,1.365,519,708.3,,WI 45,W,1.365,519,708.3,,WI 45,W,0.672,519,348.8,,WI 45,W,0.672,519,348.8,,WI 53,W,1.002,35,35.4,,WI 53,W,1.002,35,35.4,,WI 53,W,0.566,35,20,,WI 53,W,0.566,35,20,,WI 45,L,-0.223,519,-115.5,,WI 45,L,-0.223,519,-115.5,,WI 45,L,-0.779,519,-404.4,,WI 45,L,-0.779,519,-404.4
WI 52,L,-0.298,35,-10.5,,WI 52,L,-0.298,35,-10.5,,WI 52,L,-1.042,35,-36.8,,WI 52,L,-1.042,35,-36.8,,WI 53,A,-1.386,35,-48.9,,WI 53,A,-1.386,35,-48.9,,WI 53,A,-2.079,35,-73.4,,WI 53,A,-2.079,35,-73.4,,WI 52,W,1.002,35,35.4,,WI 52,W,1.002,35,35.4,,WI 52,W,0.566,35,20,,WI 52,W,0.566,35,20,,WI 53,L,-0.223,35,-7.9,,WI 53,L,-0.223,35,-7.9,,WI 53,L,-0.779,35,-27.5,,WI 53,L,-0.779,35,-27.5
WI 51,W,1.711,35,60.4,,WI 51,W,1.711,35,60.4,,WI 51,W,0.967,35,34.1,,WI 51,W,0.967,35,34.1,,WI 52,L,-0.277,35,-9.8,,WI 52,L,-0.277,35,-9.8,,WI 52,L,-0.97,35,-34.2,,WI 52,L,-0.97,35,-34.2,,WI 51,L,-0.174,35,-6.1,,WI 51,L,-0.174,35,-6.1,,WI 51,L,-0.61,35,-21.5,,WI 51,L,-0.61,35,-21.5,,WI 52,A,-1.113,35,-39.3,,WI 52,A,-1.113,35,-39.3,,WI 52,A,-1.67,35,-59,,WI 52,A,-1.67,35,-59
WI 50,A,-1.488,49,-72.4,,WI 50,A,-1.488,49,-72.4,,WI 50,A,-2.232,49,-108.6,,WI 50,A,-2.232,49,-108.6,,WI 51,L,-0.277,35,-9.8,,WI 51,L,-0.277,35,-9.8,,WI 51,L,-0.97,35,-34.2,,WI 51,L,-0.97,35,-34.2,,WI 50,A,-0.871,49,-42.4,,WI 50,A,-0.871,49,-42.4,,WI 50,A,-1.306,49,-63.6,,WI 50,A,-1.306,49,-63.6,,WI 51,A,-1.113,35,-39.3,,WI 51,A,-1.113,35,-39.3,,WI 51,A,-1.67,35,-59,,WI 51,A,-1.67,35,-59
,B,-0.744,16,-12,,,B,-0.744,16,-12,,,B,-1.488,16,-24.1,,,B,-1.488,16,-24.1,,WI 50,L,-0.277,65,-18,,WI 50,L,-0.277,65,-18,,WI 50,L,-0.97,65,-62.9,,WI 50,L,-0.97,65,-62.9,,,B,-0.435,16,-7.1,,,B,-0.435,16,-7.1,,,B,-0.871,16,-14.1,,,B,-0.871,16,-14.1,,WI 50,W,1.043,65,67.6,,WI 50,W,1.043,65,67.6,,WI 50,W,0.486,65,31.5,,WI 50,W,0.486,65,31.5
