Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Loadcase,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
A1,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,49.7,12.1,0.1,0.0,0.0,0.0
,,,,3 Dead,25.7,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,25.7,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,61.7,24.2,0.1,0.0,0.0,0.0
,,,,6 Snow,73.0,28.7,0.1,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-278.9,-18.6,-117.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-278.9,-18.6,-117.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-326.6,-29.3,-118.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-326.6,-29.3,-118.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",11.5,-41.3,-3.1,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-45.9,-47.3,-3.2,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-36.3,-52.1,-4.3,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-93.7,-58.0,-4.4,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",134.5,8.2,79.2,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",134.5,8.2,79.2,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",103.3,1.2,78.5,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",103.3,1.2,78.5,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",4.2,19.7,-0.1,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-10.3,6.1,-0.1,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-27.4,12.6,-0.9,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-41.9,-1.0,-0.9,0.0,0.0,0.0
A2,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,49.4,12.0,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.8,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",205.5,18.6,-0.1,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",205.5,18.6,-0.1,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",146.6,15.6,-0.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",146.6,15.6,-0.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-6.2,-57.9,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-62.2,-63.8,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-65.3,-60.9,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-121.3,-66.8,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-158.1,-3.6,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-158.1,-3.6,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-196.7,-5.6,0.1,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-196.7,-5.6,0.1,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",4.7,21.7,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-9.7,8.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-34.4,19.7,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-48.8,6.1,0.0,0.0,0.0,0.0
A3,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,43.9,10.5,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.8,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-16.3,11.7,-0.1,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-16.3,11.7,-0.1,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-68.4,9.0,-0.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-68.4,9.0,-0.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",8.8,-55.1,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-42.2,-61.4,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-43.5,-57.9,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-94.5,-64.2,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-9.9,8.0,0.1,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-9.9,8.0,0.1,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-44.0,6.2,0.1,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-44.0,6.2,0.1,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",9.3,23.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-4.7,9.9,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-25.3,21.1,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-39.3,8.1,0.0,0.0,0.0,0.0
A4,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,42.7,10.5,0.0,0.0,0.0,0.0
,,,,3 Dead,24.5,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.5,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,58.8,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.6,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-15.1,5.5,-0.1,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-15.1,5.5,-0.1,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-67.2,-0.3,-0.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-67.2,-0.3,-0.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",10.5,-47.0,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-39.8,-53.4,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-41.7,-52.9,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-92.0,-59.2,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-9.7,6.0,0.1,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-9.7,6.0,0.1,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-43.8,2.1,0.1,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-43.8,2.1,0.1,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",8.6,21.1,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-5.3,8.1,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-25.9,17.3,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-39.9,4.2,0.0,0.0,0.0,0.0
A5,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,42.8,10.5,0.0,0.0,0.0,0.0
,,,,3 Dead,25.4,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,25.4,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,61.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,72.2,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-20.4,-1.7,-9.9,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-20.4,-1.7,-9.9,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-74.3,-17.4,-5.4,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-74.3,-17.4,-5.4,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",1.7,-32.1,9.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-48.1,-38.4,9.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-52.3,-47.8,13.5,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-102.1,-54.1,13.6,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-11.5,-0.6,1.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-11.5,-0.6,1.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-46.8,-10.9,3.9,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-46.8,-10.9,3.9,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",6.1,21.6,1.2,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-7.7,8.5,1.2,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-29.7,11.1,4.2,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-43.5,-1.9,4.2,0.0,0.0,0.0
