Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
SUP 1/A,0.0000,SC 1/A (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,34.4,0.6,0.4,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,34.4,1.1,-2.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,34.5,0.1,2.8,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,34.6,-3.0,-1.6,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,34.3,4.2,2.4,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,53.2,33.1,-32.1,0.0,0.0,0.1
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,5.7,24.6,-35.5,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,29.8,39.0,-24.0,0.0,0.0,0.1
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,-17.8,30.5,-27.4,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,69.2,-84.4,-29.3,0.0,0.0,-0.1
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,15.2,-71.7,-24.0,0.0,0.0,-0.1
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,45.7,-78.5,-21.2,0.0,0.0,-0.1
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,-8.3,-65.8,-15.8,0.0,0.0,-0.1
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,18.9,-25.5,16.6,0.0,0.0,-0.1
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,-6.7,-19.0,18.3,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,-4.5,-19.6,24.7,0.0,0.0,-0.1
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,-30.1,-13.1,26.4,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,7.5,74.2,48.2,0.0,0.0,0.1
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,-16.6,65.5,43.5,0.0,0.0,0.1
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,-15.9,80.2,56.4,0.0,0.0,0.1
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,-40.1,71.4,51.7,0.0,0.0,0.1
,,,,22 (Final) Cb5.1-D+1.4W,48.1,38.2,-37.9,0.0,0.0,0.1
,,,,23 (Final) Cb5.2-D+1.4W,-7.3,28.3,-41.8,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,20.8,45.1,-28.4,0.0,0.0,0.1
,,,,25 (Final) Cb5.4-D+1.4W,-34.7,35.2,-32.3,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,66.8,-98.9,-34.6,0.0,0.0,-0.1
,,,,27 (Final) Cb5.6-D+1.4W,3.8,-84.1,-28.4,0.0,0.0,-0.1
,,,,28 (Final) Cb5.7-D+1.4W,39.4,-91.9,-25.1,0.0,0.0,-0.1
,,,,29 (Final) Cb5.8-D+1.4W,-23.6,-77.2,-18.9,0.0,0.0,-0.1
,,,,30 (Final) Cb5.9-D+1.4W,8.1,-30.2,19.0,0.0,0.0,-0.1
,,,,31 (Final) Cb5.10-D+1.4W,-21.8,-22.6,20.9,0.0,0.0,-0.1
,,,,32 (Final) Cb5.11-D+1.4W,-19.2,-23.3,28.5,0.0,0.0,-0.1
,,,,33 (Final) Cb5.12-D+1.4W,-49.1,-15.7,30.4,0.0,0.0,-0.1
,,,,34 (Final) Cb5.13-D+1.4W,-5.2,86.1,55.9,0.0,0.0,0.1
,,,,35 (Final) Cb5.14-D+1.4W,-33.4,76.0,50.4,0.0,0.0,0.1
,,,,36 (Final) Cb5.15-D+1.4W,-32.5,93.1,65.4,0.0,0.0,0.1
,,,,37 (Final) Cb5.16-D+1.4W,-60.7,82.9,59.9,0.0,0.0,0.1
