Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
SUP A/1,0.0000,SC A/1 (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,34.1,0.6,-16.6,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,33.8,0.6,-16.8,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,34.4,0.6,-16.3,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,33.4,0.3,-16.6,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,34.8,0.9,-16.6,0.0,0.0,0.0
SUP A/3,0.0000,SC A/3 (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,30.6,-0.1,-16.7,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,30.3,-0.1,-17.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,30.9,-0.1,-16.4,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,31.3,-0.1,-16.7,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,29.9,-0.1,-16.7,0.0,0.0,0.0
SUP B/#13,0.0000,,,1 (Final) Cb1-1.4D+1.6I+1.6RI,4.9,0.0,-4.4,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,4.9,0.0,-4.5,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,5.0,0.0,-4.4,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,4.9,0.0,-4.5,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,4.9,0.0,-4.4,0.0,0.0,0.0
SUP B/#43,0.0000,,,1 (Final) Cb1-1.4D+1.6I+1.6RI,35.2,0.0,38.5,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,35.1,0.0,38.4,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,35.3,0.0,38.6,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,35.2,0.0,38.5,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,35.2,0.0,38.5,0.0,0.0,0.0
SUP E/1,0.0000,SC E/1 (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,53.1,-0.3,-0.4,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,53.5,-0.3,-0.4,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,52.7,-0.3,-0.4,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,52.2,-0.8,-0.4,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,54.1,0.1,-0.4,0.0,0.0,0.0
SUP E/3,0.0000,SC E/3 (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,51.2,-0.1,-0.4,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,51.5,-0.1,-0.4,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,50.9,-0.1,-0.4,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,52.2,-0.1,-0.4,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,50.2,-0.1,-0.4,0.0,0.0,0.0
,,,,,,,,,,
,,,,,,,,,,
Wall Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
Core Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
