Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
A,0.0000,SC 2/C (UC 203x203x86),0.0000,59 Snow Drift 0,886.8,-0.5,0.0,0.0,0.0,0.0
,,,,60 Snow Drift 90,907.4,-0.5,-0.1,0.0,0.0,0.0
,,,,61 Snow Drift 180,883.7,-0.5,0.0,0.0,0.0,0.0
,,,,62 Snow Drift 270,885.1,-0.5,0.0,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,874.9,-0.5,0.0,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,874.9,-0.5,-0.3,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,874.9,-0.5,0.2,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,874.9,-0.9,0.0,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,874.9,0.0,0.0,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,906.2,-0.5,0.0,0.0,0.0,0.0
,,,,69 (Final) Cb2.2-1.4D+1.6I+1.6S+NHFDir1+,906.2,-0.5,-0.3,0.0,0.0,0.0
,,,,70 (Final) Cb2.3-1.4D+1.6I+1.6S+NHFDir1-,906.2,-0.5,0.2,0.0,0.0,0.0
,,,,71 (Final) Cb2.4-1.4D+1.6I+1.6S+NHFDir2+,906.2,-0.9,0.0,0.0,0.0,0.0
,,,,72 (Final) Cb2.5-1.4D+1.6I+1.6S+NHFDir2-,906.2,0.0,0.0,0.0,0.0,0.0
,,,,73 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,-0.8,0.0,0.0,0.0
,,,,74 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,-0.8,0.0,0.0,0.0
,,,,75 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,-0.8,0.0,0.0,0.0
,,,,76 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,-0.8,0.0,0.0,0.0
,,,,77 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,780.9,-2.8,-0.1,0.0,0.0,0.0
,,,,78 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,780.9,-2.8,-0.1,0.0,0.0,0.0
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,780.9,-2.8,-0.1,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,780.9,-2.8,-0.1,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,1.0,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,1.0,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,0.9,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,780.9,-0.4,0.9,0.0,0.0,0.0
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,780.9,1.0,-0.1,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,780.9,1.0,-0.1,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,780.9,1.0,-0.1,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,780.9,1.0,-0.1,0.0,0.0,0.0
,,,,89 (Final) Cb4.1-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,-0.8,0.0,0.0,0.0
,,,,90 (Final) Cb4.2-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,-0.8,0.0,0.0,0.0
,,,,91 (Final) Cb4.3-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,-0.8,0.0,0.0,0.0
,,,,92 (Final) Cb4.4-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,-0.8,0.0,0.0,0.0
,,,,93 (Final) Cb4.5-1.2D+1.2I+1.2S+1.2W,806.0,-2.8,-0.1,0.0,0.0,0.0
,,,,94 (Final) Cb4.6-1.2D+1.2I+1.2S+1.2W,806.0,-2.8,-0.1,0.0,0.0,0.0
,,,,95 (Final) Cb4.7-1.2D+1.2I+1.2S+1.2W,806.0,-2.8,-0.1,0.0,0.0,0.0
,,,,96 (Final) Cb4.8-1.2D+1.2I+1.2S+1.2W,806.0,-2.8,-0.1,0.0,0.0,0.0
,,,,97 (Final) Cb4.9-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,1.0,0.0,0.0,0.0
,,,,98 (Final) Cb4.10-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,1.0,0.0,0.0,0.0
,,,,99 (Final) Cb4.11-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,0.9,0.0,0.0,0.0
,,,,100 (Final) Cb4.12-1.2D+1.2I+1.2S+1.2W,806.0,-0.4,0.9,0.0,0.0,0.0
,,,,101 (Final) Cb4.13-1.2D+1.2I+1.2S+1.2W,806.0,0.9,-0.1,0.0,0.0,0.0
,,,,102 (Final) Cb4.14-1.2D+1.2I+1.2S+1.2W,806.0,0.9,-0.1,0.0,0.0,0.0
,,,,103 (Final) Cb4.15-1.2D+1.2I+1.2S+1.2W,806.0,0.9,-0.1,0.0,0.0,0.0
,,,,104 (Final) Cb4.16-1.2D+1.2I+1.2S+1.2W,806.0,0.9,-0.1,0.0,0.0,0.0
,,,,105 (Final) Cb5.1-D+1.4W,405.1,-0.2,-1.0,0.0,0.0,0.0
